chapter,text
Chapter 12,"the body of an old man, gorgeously arrayed in the habiliments of a"
Chapter 12,"rajah, wearing, as in life, a turban embroidered with pearls, a robe of"
Chapter 12,"tissue of silk and gold, a scarf of cashmere sewed with diamonds, and"
Chapter 12,the magnificent weapons of a Hindoo prince. Next came the musicians and
Chapter 12,"a rearguard of capering fakirs, whose cries sometimes drowned the noise"
Chapter 12,of the instruments; these closed the procession.
Chapter 12,"Sir Francis watched the procession with a sad countenance, and, turning"
Chapter 12,"to the guide, said, “A suttee.”"
Chapter 12,"The Parsee nodded, and put his finger to his lips. The procession"
Chapter 12,"slowly wound under the trees, and soon its last ranks disappeared in"
Chapter 12,the depths of the wood. The songs gradually died away; occasionally
Chapter 12,"cries were heard in the distance, until at last all was silence again."
Chapter 12,"Phileas Fogg had heard what Sir Francis said, and, as soon as the"
Chapter 12,"procession had disappeared, asked: “What is a suttee?”"
Chapter 12,"“A suttee,” returned the general, “is a human sacrifice, but a"
Chapter 12,voluntary one. The woman you have just seen will be burned to-morrow at
Chapter 12,the dawn of day.”
Chapter 12,"“Oh, the scoundrels!” cried Passepartout, who could not repress his"
Chapter 12,indignation.
Chapter 12,“And the corpse?” asked Mr. Fogg.
Chapter 12,"“Is that of the prince, her husband,” said the guide; “an independent"
Chapter 12,rajah of Bundelcund.”
Chapter 12,"“Is it possible,” resumed Phileas Fogg, his voice betraying not the"
Chapter 12,"least emotion, “that these barbarous customs still exist in India, and"
Chapter 12,that the English have been unable to put a stop to them?”
Chapter 12,"“These sacrifices do not occur in the larger portion of India,” replied"
Chapter 12,"Sir Francis; “but we have no power over these savage territories, and"
Chapter 12,especially here in Bundelcund. The whole district north of the Vindhias
Chapter 12,is the theatre of incessant murders and pillage.”
Chapter 12,"“The poor wretch!” exclaimed Passepartout, “to be burned alive!”"
Chapter 12,"“Yes,” returned Sir Francis, “burned alive. And, if she were not, you"
Chapter 12,cannot conceive what treatment she would be obliged to submit to from
Chapter 12,"her relatives. They would shave off her hair, feed her on a scanty"
Chapter 12,"allowance of rice, treat her with contempt; she would be looked upon as"
Chapter 12,"an unclean creature, and would die in some corner, like a scurvy dog."
Chapter 12,The prospect of so frightful an existence drives these poor creatures
Chapter 12,to the sacrifice much more than love or religious fanaticism.
Chapter 12,"Sometimes, however, the sacrifice is really voluntary, and it requires"
Chapter 12,the active interference of the Government to prevent it. Several years
Chapter 12,"ago, when I was living at Bombay, a young widow asked permission of the"
Chapter 12,"governor to be burned along with her husband’s body; but, as you may"
Chapter 12,"imagine, he refused. The woman left the town, took refuge with an"
Chapter 12,"independent rajah, and there carried out her self-devoted purpose.”"
Chapter 12,"While Sir Francis was speaking, the guide shook his head several times,"
Chapter 12,and now said: “The sacrifice which will take place to-morrow at dawn is
Chapter 12,not a voluntary one.”
Chapter 12,“How do you know?”
Chapter 12,“Everybody knows about this affair in Bundelcund.”
Chapter 12,"“But the wretched creature did not seem to be making any resistance,”"
Chapter 12,observed Sir Francis.
Chapter 12,“That was because they had intoxicated her with fumes of hemp and
Chapter 12,opium.”
Chapter 12,“But where are they taking her?”
Chapter 12,"“To the pagoda of Pillaji, two miles from here; she will pass the night"
Chapter 12,there.”
Chapter 12,“And the sacrifice will take place—”
Chapter 12,"“To-morrow, at the first light of dawn.”"
Chapter 12,"The guide now led the elephant out of the thicket, and leaped upon his"
Chapter 12,neck. Just at the moment that he was about to urge Kiouni forward with
Chapter 12,"a peculiar whistle, Mr. Fogg stopped him, and, turning to Sir Francis"
Chapter 12,"Cromarty, said, “Suppose we save this woman.”"
Chapter 12,"“Save the woman, Mr. Fogg!”"
Chapter 12,“I have yet twelve hours to spare; I can devote them to that.”
Chapter 12,"“Why, you are a man of heart!”"
Chapter 12,"“Sometimes,” replied Phileas Fogg, quietly; “when I have the time.”"
Chapter 13,CHAPTER XIII.
Chapter 13,IN WHICH PASSEPARTOUT RECEIVES A NEW PROOF THAT FORTUNE FAVORS THE
Chapter 13,BRAVE
Chapter 13,"The project was a bold one, full of difficulty, perhaps impracticable."
Chapter 13,"Mr. Fogg was going to risk life, or at least liberty, and therefore the"
Chapter 13,"success of his tour. But he did not hesitate, and he found in Sir"
Chapter 13,Francis Cromarty an enthusiastic ally.
Chapter 13,"As for Passepartout, he was ready for anything that might be proposed."
Chapter 13,"His master’s idea charmed him; he perceived a heart, a soul, under that"
Chapter 13,icy exterior. He began to love Phileas Fogg.
Chapter 13,There remained the guide: what course would he adopt? Would he not take
Chapter 13,"part with the Indians? In default of his assistance, it was necessary"
Chapter 13,to be assured of his neutrality.
Chapter 13,Sir Francis frankly put the question to him.
Chapter 13,"“Officers,” replied the guide, “I am a Parsee, and this woman is a"
Chapter 13,Parsee. Command me as you will.”
Chapter 13,“Excellent!” said Mr. Fogg.
Chapter 13,"“However,” resumed the guide, “it is certain, not only that we shall"
Chapter 13,"risk our lives, but horrible tortures, if we are taken.”"
Chapter 13,"“That is foreseen,” replied Mr. Fogg. “I think we must wait till night"
Chapter 13,before acting.”
Chapter 13,"“I think so,” said the guide."
Chapter 13,"The worthy Indian then gave some account of the victim, who, he said,"
Chapter 13,"was a celebrated beauty of the Parsee race, and the daughter of a"
Chapter 13,wealthy Bombay merchant. She had received a thoroughly English
Chapter 13,"education in that city, and, from her manners and intelligence, would"
Chapter 13,"be thought an European. Her name was Aouda. Left an orphan, she was"
Chapter 13,"married against her will to the old rajah of Bundelcund; and, knowing"
Chapter 13,"the fate that awaited her, she escaped, was retaken, and devoted by the"
Chapter 13,"rajah’s relatives, who had an interest in her death, to the sacrifice"
Chapter 13,from which it seemed she could not escape.
Chapter 13,The Parsee’s narrative only confirmed Mr. Fogg and his companions in
Chapter 13,their generous design. It was decided that the guide should direct the
Chapter 13,"elephant towards the pagoda of Pillaji, which he accordingly approached"
Chapter 13,"as quickly as possible. They halted, half an hour afterwards, in a"
Chapter 13,"copse, some five hundred feet from the pagoda, where they were well"
Chapter 13,concealed; but they could hear the groans and cries of the fakirs
Chapter 13,distinctly.
Chapter 13,They then discussed the means of getting at the victim. The guide was
Chapter 13,"familiar with the pagoda of Pillaji, in which, as he declared, the"
Chapter 13,young woman was imprisoned. Could they enter any of its doors while the
Chapter 13,"whole party of Indians was plunged in a drunken sleep, or was it safer"
Chapter 13,to attempt to make a hole in the walls? This could only be determined
Chapter 13,at the moment and the place themselves; but it was certain that the
Chapter 13,"abduction must be made that night, and not when, at break of day, the"
Chapter 13,victim was led to her funeral pyre. Then no human intervention could
Chapter 13,save her.
Chapter 13,"As soon as night fell, about six o’clock, they decided to make a"
Chapter 13,reconnaissance around the pagoda. The cries of the fakirs were just
Chapter 13,ceasing; the Indians were in the act of plunging themselves into the
Chapter 13,"drunkenness caused by liquid opium mingled with hemp, and it might be"
Chapter 13,possible to slip between them to the temple itself.
Chapter 13,"The Parsee, leading the others, noiselessly crept through the wood, and"
Chapter 13,"in ten minutes they found themselves on the banks of a small stream,"
Chapter 13,"whence, by the light of the rosin torches, they perceived a pyre of"
Chapter 13,"wood, on the top of which lay the embalmed body of the rajah, which was"
Chapter 13,"to be burned with his wife. The pagoda, whose minarets loomed above the"
Chapter 13,"trees in the deepening dusk, stood a hundred steps away."
Chapter 13,“Come!” whispered the guide.
Chapter 13,"He slipped more cautiously than ever through the brush, followed by his"
Chapter 13,companions; the silence around was only broken by the low murmuring of
Chapter 13,the wind among the branches.
Chapter 13,"Soon the Parsee stopped on the borders of the glade, which was lit up"
Chapter 13,"by the torches. The ground was covered by groups of the Indians,"
Chapter 13,motionless in their drunken sleep; it seemed a battlefield strewn with
Chapter 13,"the dead. Men, women, and children lay together."
Chapter 13,"In the background, among the trees, the pagoda of Pillaji loomed"
Chapter 13,"distinctly. Much to the guide’s disappointment, the guards of the"
Chapter 13,"rajah, lighted by torches, were watching at the doors and marching to"
Chapter 13,"and fro with naked sabres; probably the priests, too, were watching"
Chapter 13,within.
Chapter 13,"The Parsee, now convinced that it was impossible to force an entrance"
Chapter 13,"to the temple, advanced no farther, but led his companions back again."
Chapter 13,Phileas Fogg and Sir Francis Cromarty also saw that nothing could be
Chapter 13,"attempted in that direction. They stopped, and engaged in a whispered"
Chapter 13,colloquy.
Chapter 13,"“It is only eight now,” said the brigadier, “and these guards may also"
Chapter 13,go to sleep.”
Chapter 13,"“It is not impossible,” returned the Parsee."
Chapter 13,"They lay down at the foot of a tree, and waited."
Chapter 13,The time seemed long; the guide ever and anon left them to take an
Chapter 13,"observation on the edge of the wood, but the guards watched steadily by"
Chapter 13,"the glare of the torches, and a dim light crept through the windows of"
Chapter 13,the pagoda.
Chapter 13,"They waited till midnight; but no change took place among the guards,"
Chapter 13,and it became apparent that their yielding to sleep could not be
Chapter 13,counted on. The other plan must be carried out; an opening in the walls
Chapter 13,of the pagoda must be made. It remained to ascertain whether the
Chapter 13,priests were watching by the side of their victim as assiduously as
Chapter 13,were the soldiers at the door.
Chapter 13,"After a last consultation, the guide announced that he was ready for"
Chapter 13,"the attempt, and advanced, followed by the others. They took a"
Chapter 13,"roundabout way, so as to get at the pagoda on the rear. They reached"
Chapter 13,"the walls about half-past twelve, without having met anyone; here there"
Chapter 13,"was no guard, nor were there either windows or doors."
Chapter 13,"The night was dark. The moon, on the wane, scarcely left the horizon,"
Chapter 13,and was covered with heavy clouds; the height of the trees deepened the
Chapter 13,darkness.
Chapter 13,It was not enough to reach the walls; an opening in them must be
Chapter 13,"accomplished, and to attain this purpose the party only had their"
Chapter 13,"pocket-knives. Happily the temple walls were built of brick and wood,"
Chapter 13,which could be penetrated with little difficulty; after one brick had
Chapter 13,"been taken out, the rest would yield easily."
Chapter 13,"They set noiselessly to work, and the Parsee on one side and"
Chapter 13,Passepartout on the other began to loosen the bricks so as to make an
Chapter 13,"aperture two feet wide. They were getting on rapidly, when suddenly a"
Chapter 13,"cry was heard in the interior of the temple, followed almost instantly"
Chapter 13,by other cries replying from the outside. Passepartout and the guide
Chapter 13,stopped. Had they been heard? Was the alarm being given? Common
Chapter 13,"prudence urged them to retire, and they did so, followed by Phileas"
Chapter 13,"Fogg and Sir Francis. They again hid themselves in the wood, and waited"
Chapter 13,"till the disturbance, whatever it might be, ceased, holding themselves"
Chapter 13,"ready to resume their attempt without delay. But, awkwardly enough, the"
Chapter 13,"guards now appeared at the rear of the temple, and there installed"
Chapter 13,"themselves, in readiness to prevent a surprise."
Chapter 13,"It would be difficult to describe the disappointment of the party, thus"
Chapter 13,"interrupted in their work. They could not now reach the victim; how,"
Chapter 13,"then, could they save her? Sir Francis shook his fists, Passepartout"
Chapter 13,"was beside himself, and the guide gnashed his teeth with rage. The"
Chapter 13,"tranquil Fogg waited, without betraying any emotion."
Chapter 13,"“We have nothing to do but to go away,” whispered Sir Francis."
Chapter 13,"“Nothing but to go away,” echoed the guide."
Chapter 13,"“Stop,” said Fogg. “I am only due at Allahabad tomorrow before noon.”"
Chapter 13,“But what can you hope to do?” asked Sir Francis. “In a few hours it
Chapter 13,"will be daylight, and—”"
Chapter 13,“The chance which now seems lost may present itself at the last
Chapter 13,moment.”
Chapter 13,Sir Francis would have liked to read Phileas Fogg’s eyes. What was this
Chapter 13,cool Englishman thinking of? Was he planning to make a rush for the
Chapter 13,"young woman at the very moment of the sacrifice, and boldly snatch her"
Chapter 13,from her executioners?
Chapter 13,"This would be utter folly, and it was hard to admit that Fogg was such"
Chapter 13,"a fool. Sir Francis consented, however, to remain to the end of this"
Chapter 13,"terrible drama. The guide led them to the rear of the glade, where they"
Chapter 13,were able to observe the sleeping groups.
Chapter 13,"Meanwhile Passepartout, who had perched himself on the lower branches"
Chapter 13,"of a tree, was resolving an idea which had at first struck him like a"
Chapter 13,"flash, and which was now firmly lodged in his brain."
Chapter 13,"He had commenced by saying to himself, “What folly!” and then he"
Chapter 13,"repeated, “Why not, after all? It’s a chance,—perhaps the only one; and"
Chapter 13,"with such sots!” Thinking thus, he slipped, with the suppleness of a"
Chapter 13,"serpent, to the lowest branches, the ends of which bent almost to the"
Chapter 13,ground.
Chapter 13,"The hours passed, and the lighter shades now announced the approach of"
Chapter 13,"day, though it was not yet light. This was the moment. The slumbering"
Chapter 13,"multitude became animated, the tambourines sounded, songs and cries"
Chapter 13,arose; the hour of the sacrifice had come. The doors of the pagoda
Chapter 13,"swung open, and a bright light escaped from its interior, in the midst"
Chapter 13,"of which Mr. Fogg and Sir Francis espied the victim. She seemed, having"
Chapter 13,"shaken off the stupor of intoxication, to be striving to escape from"
Chapter 13,"her executioner. Sir Francis’s heart throbbed; and, convulsively"
Chapter 13,"seizing Mr. Fogg’s hand, found in it an open knife. Just at this moment"
Chapter 13,the crowd began to move. The young woman had again fallen into a stupor
Chapter 13,"caused by the fumes of hemp, and passed among the fakirs, who escorted"
Chapter 13,"her with their wild, religious cries."
Chapter 13,"Phileas Fogg and his companions, mingling in the rear ranks of the"
Chapter 13,"crowd, followed; and in two minutes they reached the banks of the"
Chapter 13,"stream, and stopped fifty paces from the pyre, upon which still lay the"
Chapter 13,"rajah’s corpse. In the semi-obscurity they saw the victim, quite"
Chapter 13,"senseless, stretched out beside her husband’s body. Then a torch was"
Chapter 13,"brought, and the wood, heavily soaked with oil, instantly took fire."
Chapter 13,"At this moment Sir Francis and the guide seized Phileas Fogg, who, in"
Chapter 13,"an instant of mad generosity, was about to rush upon the pyre. But he"
Chapter 13,"had quickly pushed them aside, when the whole scene suddenly changed. A"
Chapter 13,"cry of terror arose. The whole multitude prostrated themselves,"
Chapter 13,"terror-stricken, on the ground."
Chapter 13,"The old rajah was not dead, then, since he rose of a sudden, like a"
Chapter 13,"spectre, took up his wife in his arms, and descended from the pyre in"
Chapter 13,"the midst of the clouds of smoke, which only heightened his ghostly"
Chapter 13,appearance.
Chapter 13,"Fakirs and soldiers and priests, seized with instant terror, lay there,"
Chapter 13,"with their faces on the ground, not daring to lift their eyes and"
Chapter 13,behold such a prodigy.
Chapter 13,The inanimate victim was borne along by the vigorous arms which
Chapter 13,"supported her, and which she did not seem in the least to burden. Mr."
Chapter 13,"Fogg and Sir Francis stood erect, the Parsee bowed his head, and"
Chapter 13,"Passepartout was, no doubt, scarcely less stupefied."
Chapter 13,"The resuscitated rajah approached Sir Francis and Mr. Fogg, and, in an"
Chapter 13,"abrupt tone, said, “Let us be off!”"
Chapter 13,"It was Passepartout himself, who had slipped upon the pyre in the midst"
Chapter 13,"of the smoke and, profiting by the still overhanging darkness, had"
Chapter 13,"delivered the young woman from death! It was Passepartout who, playing"
Chapter 13,"his part with a happy audacity, had passed through the crowd amid the"
Chapter 13,general terror.
Chapter 13,"A moment after all four of the party had disappeared in the woods, and"
Chapter 13,the elephant was bearing them away at a rapid pace. But the cries and
Chapter 13,"noise, and a ball which whizzed through Phileas Fogg’s hat, apprised"
Chapter 13,them that the trick had been discovered.
Chapter 13,"The old rajah’s body, indeed, now appeared upon the burning pyre; and"
Chapter 13,"the priests, recovered from their terror, perceived that an abduction"
Chapter 13,"had taken place. They hastened into the forest, followed by the"
Chapter 13,"soldiers, who fired a volley after the fugitives; but the latter"
Chapter 13,"rapidly increased the distance between them, and ere long found"
Chapter 13,themselves beyond the reach of the bullets and arrows.
Chapter 14,CHAPTER XIV.
Chapter 14,IN WHICH PHILEAS FOGG DESCENDS THE WHOLE LENGTH OF THE BEAUTIFUL VALLEY
Chapter 14,OF THE GANGES WITHOUT EVER THINKING OF SEEING IT
Chapter 14,The rash exploit had been accomplished; and for an hour Passepartout
Chapter 14,laughed gaily at his success. Sir Francis pressed the worthy fellow’s
Chapter 14,"hand, and his master said, “Well done!” which, from him, was high"
Chapter 14,commendation; to which Passepartout replied that all the credit of the
Chapter 14,"affair belonged to Mr. Fogg. As for him, he had only been struck with a"
Chapter 14,"“queer” idea; and he laughed to think that for a few moments he,"
Chapter 14,"Passepartout, the ex-gymnast, ex-sergeant fireman, had been the spouse"
Chapter 14,"of a charming woman, a venerable, embalmed rajah! As for the young"
Chapter 14,"Indian woman, she had been unconscious throughout of what was passing,"
Chapter 14,"and now, wrapped up in a travelling-blanket, was reposing in one of the"
Chapter 14,howdahs.
Chapter 14,"The elephant, thanks to the skilful guidance of the Parsee, was"
Chapter 14,"advancing rapidly through the still darksome forest, and, an hour after"
Chapter 14,"leaving the pagoda, had crossed a vast plain. They made a halt at seven"
Chapter 14,"o’clock, the young woman being still in a state of complete"
Chapter 14,"prostration. The guide made her drink a little brandy and water, but"
Chapter 14,the drowsiness which stupefied her could not yet be shaken off. Sir
Chapter 14,"Francis, who was familiar with the effects of the intoxication produced"
Chapter 14,"by the fumes of hemp, reassured his companions on her account. But he"
Chapter 14,was more disturbed at the prospect of her future fate. He told Phileas
Chapter 14,"Fogg that, should Aouda remain in India, she would inevitably fall"
Chapter 14,again into the hands of her executioners. These fanatics were scattered
Chapter 14,"throughout the county, and would, despite the English police, recover"
Chapter 14,"their victim at Madras, Bombay, or Calcutta. She would only be safe by"
Chapter 14,quitting India for ever.
Chapter 14,Phileas Fogg replied that he would reflect upon the matter.
Chapter 14,"The station at Allahabad was reached about ten o’clock, and, the"
Chapter 14,"interrupted line of railway being resumed, would enable them to reach"
Chapter 14,Calcutta in less than twenty-four hours. Phileas Fogg would thus be
Chapter 14,able to arrive in time to take the steamer which left Calcutta the next
Chapter 14,"day, October 25th, at noon, for Hong Kong."
Chapter 14,"The young woman was placed in one of the waiting-rooms of the station,"
Chapter 14,whilst Passepartout was charged with purchasing for her various
Chapter 14,"articles of toilet, a dress, shawl, and some furs; for which his master"
Chapter 14,"gave him unlimited credit. Passepartout started off forthwith, and"
Chapter 14,"found himself in the streets of Allahabad, that is, the City of God,"
Chapter 14,"one of the most venerated in India, being built at the junction of the"
Chapter 14,"two sacred rivers, Ganges and Jumna, the waters of which attract"
Chapter 14,"pilgrims from every part of the peninsula. The Ganges, according to the"
Chapter 14,"legends of the Ramayana, rises in heaven, whence, owing to Brahma’s"
Chapter 14,"agency, it descends to the earth."
Chapter 14,"Passepartout made it a point, as he made his purchases, to take a good"
Chapter 14,"look at the city. It was formerly defended by a noble fort, which has"
Chapter 14,"since become a state prison; its commerce has dwindled away, and"
Chapter 14,Passepartout in vain looked about him for such a bazaar as he used to
Chapter 14,"frequent in Regent Street. At last he came upon an elderly, crusty Jew,"
Chapter 14,"who sold second-hand articles, and from whom he purchased a dress of"
Chapter 14,"Scotch stuff, a large mantle, and a fine otter-skin pelisse, for which"
Chapter 14,he did not hesitate to pay seventy-five pounds. He then returned
Chapter 14,triumphantly to the station.
Chapter 14,The influence to which the priests of Pillaji had subjected Aouda began
Chapter 14,"gradually to yield, and she became more herself, so that her fine eyes"
Chapter 14,resumed all their soft Indian expression.
Chapter 14,"When the poet-king, Ucaf Uddaul, celebrates the charms of the queen of"
Chapter 14,"Ahmehnagara, he speaks thus:"
Chapter 14,"“Her shining tresses, divided in two parts, encircle the harmonious"
Chapter 14,"contour of her white and delicate cheeks, brilliant in their glow and"
Chapter 14,"freshness. Her ebony brows have the form and charm of the bow of Kama,"
Chapter 14,"the god of love, and beneath her long silken lashes the purest"
Chapter 14,"reflections and a celestial light swim, as in the sacred lakes of"
Chapter 14,"Himalaya, in the black pupils of her great clear eyes. Her teeth, fine,"
Chapter 14,"equal, and white, glitter between her smiling lips like dewdrops in a"
Chapter 14,"passion-flower’s half-enveloped breast. Her delicately formed ears, her"
Chapter 14,"vermilion hands, her little feet, curved and tender as the lotus-bud,"
Chapter 14,"glitter with the brilliancy of the loveliest pearls of Ceylon, the most"
Chapter 14,"dazzling diamonds of Golconda. Her narrow and supple waist, which a"
Chapter 14,"hand may clasp around, sets forth the outline of her rounded figure and"
Chapter 14,"the beauty of her bosom, where youth in its flower displays the wealth"
Chapter 14,of its treasures; and beneath the silken folds of her tunic she seems
Chapter 14,to have been modelled in pure silver by the godlike hand of
Chapter 14,"Vicvarcarma, the immortal sculptor.”"
Chapter 14,"It is enough to say, without applying this poetical rhapsody to Aouda,"
Chapter 14,"that she was a charming woman, in all the European acceptation of the"
Chapter 14,"phrase. She spoke English with great purity, and the guide had not"
Chapter 14,exaggerated in saying that the young Parsee had been transformed by her
Chapter 14,bringing up.
Chapter 14,"The train was about to start from Allahabad, and Mr. Fogg proceeded to"
Chapter 14,"pay the guide the price agreed upon for his service, and not a farthing"
Chapter 14,"more; which astonished Passepartout, who remembered all that his master"
Chapter 14,"owed to the guide’s devotion. He had, indeed, risked his life in the"
Chapter 14,"adventure at Pillaji, and, if he should be caught afterwards by the"
Chapter 14,"Indians, he would with difficulty escape their vengeance. Kiouni, also,"
Chapter 14,"must be disposed of. What should be done with the elephant, which had"
Chapter 14,been so dearly purchased? Phileas Fogg had already determined this
Chapter 14,question.
Chapter 14,"“Parsee,” said he to the guide, “you have been serviceable and devoted."
Chapter 14,"I have paid for your service, but not for your devotion. Would you like"
Chapter 14,to have this elephant? He is yours.”
Chapter 14,The guide’s eyes glistened.
Chapter 14,“Your honour is giving me a fortune!” cried he.
Chapter 14,"“Take him, guide,” returned Mr. Fogg, “and I shall still be your"
Chapter 14,debtor.”
Chapter 14,"“Good!” exclaimed Passepartout. “Take him, friend. Kiouni is a brave"
Chapter 14,"and faithful beast.” And, going up to the elephant, he gave him several"
Chapter 14,"lumps of sugar, saying, “Here, Kiouni, here, here.”"
Chapter 14,"The elephant grunted out his satisfaction, and, clasping Passepartout"
Chapter 14,"around the waist with his trunk, lifted him as high as his head."
Chapter 14,"Passepartout, not in the least alarmed, caressed the animal, which"
Chapter 14,replaced him gently on the ground.
Chapter 14,"Soon after, Phileas Fogg, Sir Francis Cromarty, and Passepartout,"
Chapter 14,"installed in a carriage with Aouda, who had the best seat, were"
Chapter 14,"whirling at full speed towards Benares. It was a run of eighty miles,"
Chapter 14,"and was accomplished in two hours. During the journey, the young woman"
Chapter 14,fully recovered her senses. What was her astonishment to find herself
Chapter 14,"in this carriage, on the railway, dressed in European habiliments, and"
Chapter 14,with travellers who were quite strangers to her! Her companions first
Chapter 14,"set about fully reviving her with a little liquor, and then Sir Francis"
Chapter 14,"narrated to her what had passed, dwelling upon the courage with which"
Chapter 14,"Phileas Fogg had not hesitated to risk his life to save her, and"
Chapter 14,"recounting the happy sequel of the venture, the result of"
Chapter 14,"Passepartout’s rash idea. Mr. Fogg said nothing; while Passepartout,"
Chapter 14,"abashed, kept repeating that “it wasn’t worth telling.”"
Chapter 14,"Aouda pathetically thanked her deliverers, rather with tears than"
Chapter 14,words; her fine eyes interpreted her gratitude better than her lips.
Chapter 14,"Then, as her thoughts strayed back to the scene of the sacrifice, and"
Chapter 14,"recalled the dangers which still menaced her, she shuddered with"
Chapter 14,terror.
Chapter 14,"Phileas Fogg understood what was passing in Aouda’s mind, and offered,"
Chapter 14,"in order to reassure her, to escort her to Hong Kong, where she might"
Chapter 14,remain safely until the affair was hushed up—an offer which she eagerly
Chapter 14,"and gratefully accepted. She had, it seems, a Parsee relation, who was"
Chapter 14,"one of the principal merchants of Hong Kong, which is wholly an English"
Chapter 14,"city, though on an island on the Chinese coast."
Chapter 14,At half-past twelve the train stopped at Benares. The Brahmin legends
Chapter 14,"assert that this city is built on the site of the ancient Casi, which,"
Chapter 14,"like Mahomet’s tomb, was once suspended between heaven and earth;"
Chapter 14,"though the Benares of to-day, which the Orientalists call the Athens of"
Chapter 14,"India, stands quite unpoetically on the solid earth, Passepartout"
Chapter 14,"caught glimpses of its brick houses and clay huts, giving an aspect of"
Chapter 14,"desolation to the place, as the train entered it."
Chapter 14,"Benares was Sir Francis Cromarty’s destination, the troops he was"
Chapter 14,rejoining being encamped some miles northward of the city. He bade
Chapter 14,"adieu to Phileas Fogg, wishing him all success, and expressing the hope"
Chapter 14,that he would come that way again in a less original but more
Chapter 14,profitable fashion. Mr. Fogg lightly pressed him by the hand. The
Chapter 14,"parting of Aouda, who did not forget what she owed to Sir Francis,"
Chapter 14,"betrayed more warmth; and, as for Passepartout, he received a hearty"
Chapter 14,shake of the hand from the gallant general.
Chapter 14,"The railway, on leaving Benares, passed for a while along the valley of"
Chapter 14,the Ganges. Through the windows of their carriage the travellers had
Chapter 14,"glimpses of the diversified landscape of Behar, with its mountains"
Chapter 14,"clothed in verdure, its fields of barley, wheat, and corn, its jungles"
Chapter 14,"peopled with green alligators, its neat villages, and its still"
Chapter 14,thickly-leaved forests. Elephants were bathing in the waters of the
Chapter 14,"sacred river, and groups of Indians, despite the advanced season and"
Chapter 14,"chilly air, were performing solemnly their pious ablutions. These were"
Chapter 14,"fervent Brahmins, the bitterest foes of Buddhism, their deities being"
Chapter 14,"Vishnu, the solar god, Shiva, the divine impersonation of natural"
Chapter 14,"forces, and Brahma, the supreme ruler of priests and legislators. What"
Chapter 14,"would these divinities think of India, anglicised as it is to-day, with"
Chapter 14,"steamers whistling and scudding along the Ganges, frightening the gulls"
Chapter 14,"which float upon its surface, the turtles swarming along its banks, and"
Chapter 14,the faithful dwelling upon its borders?
Chapter 14,"The panorama passed before their eyes like a flash, save when the steam"
Chapter 14,concealed it fitfully from the view; the travellers could scarcely
Chapter 14,"discern the fort of Chupenie, twenty miles south-westward from Benares,"
Chapter 14,the ancient stronghold of the rajahs of Behar; or Ghazipur and its
Chapter 14,"famous rose-water factories; or the tomb of Lord Cornwallis, rising on"
Chapter 14,"the left bank of the Ganges; the fortified town of Buxar, or Patna, a"
Chapter 14,"large manufacturing and trading-place, where is held the principal"
Chapter 14,"opium market of India; or Monghir, a more than European town, for it is"
Chapter 14,"as English as Manchester or Birmingham, with its iron foundries,"
Chapter 14,"edgetool factories, and high chimneys puffing clouds of black smoke"
Chapter 14,heavenward.
Chapter 14,"Night came on; the train passed on at full speed, in the midst of the"
Chapter 14,"roaring of the tigers, bears, and wolves which fled before the"
Chapter 14,"locomotive; and the marvels of Bengal, Golconda ruined Gour,"
Chapter 14,"Murshedabad, the ancient capital, Burdwan, Hugly, and the French town"
Chapter 14,"of Chandernagor, where Passepartout would have been proud to see his"
Chapter 14,"country’s flag flying, were hidden from their view in the darkness."
Chapter 14,"Calcutta was reached at seven in the morning, and the packet left for"
Chapter 14,Hong Kong at noon; so that Phileas Fogg had five hours before him.
Chapter 14,"According to his journal, he was due at Calcutta on the 25th of"
Chapter 14,"October, and that was the exact date of his actual arrival. He was"
Chapter 14,therefore neither behind-hand nor ahead of time. The two days gained
Chapter 14,"between London and Bombay had been lost, as has been seen, in the"
Chapter 14,journey across India. But it is not to be supposed that Phileas Fogg
Chapter 14,regretted them.
Chapter 15,CHAPTER XV.
Chapter 15,IN WHICH THE BAG OF BANKNOTES DISGORGES SOME THOUSANDS OF POUNDS MORE
Chapter 15,"The train entered the station, and Passepartout jumping out first, was"
Chapter 15,"followed by Mr. Fogg, who assisted his fair companion to descend."
Chapter 15,"Phileas Fogg intended to proceed at once to the Hong Kong steamer, in"
Chapter 15,order to get Aouda comfortably settled for the voyage. He was unwilling
Chapter 15,to leave her while they were still on dangerous ground.
Chapter 15,"Just as he was leaving the station a policeman came up to him, and"
Chapter 15,"said, “Mr. Phileas Fogg?”"
Chapter 15,“I am he.”
Chapter 15,"“Is this man your servant?” added the policeman, pointing to"
Chapter 15,Passepartout.
Chapter 15,“Yes.”
Chapter 15,"“Be so good, both of you, as to follow me.”"
Chapter 15,Mr. Fogg betrayed no surprise whatever. The policeman was a
Chapter 15,"representative of the law, and law is sacred to an Englishman."
Chapter 15,"Passepartout tried to reason about the matter, but the policeman tapped"
Chapter 15,"him with his stick, and Mr. Fogg made him a signal to obey."
Chapter 15,“May this young lady go with us?” asked he.
Chapter 15,"“She may,” replied the policeman."
Chapter 15,"Mr. Fogg, Aouda, and Passepartout were conducted to a palkigahri, a"
Chapter 15,"sort of four-wheeled carriage, drawn by two horses, in which they took"
Chapter 15,their places and were driven away. No one spoke during the twenty
Chapter 15,minutes which elapsed before they reached their destination. They first
